Genes log2FoldChange
VPS9D1 1.41250129990658
ZNF37A 1.9082180294169
MARK3 1.34448419562065
SLC25A3 1.13289858025053
FNDC3B 1.72567876138395
FOSL2 2.49457980504745
CACNG4 7.08299629913646
FRYL 1.7094283537432
TMEM131 1.48464330246066
FSCN1 3.01842492855357
ACTB 1.50701249037748
PLD1 1.48522237070674
WDR62 3.94453035020596
DLG1 1.2351582354379
SEC31B 1.25782503852428
SART3 1.88172126408483
PAX2 6.28861931791627
KIFAP3 2.28145439876541
MCM6 3.2410669722945
REXO2 1.45061550207005
RBMS2 3.2517413290204
BAZ2A 2.41065619854966
PTPN23 1.44379970530622
FMO4 -1.32930166299681
RGS11 2.44764933310568
SLC46A1 1.04143239909113
PLXNA2 2.25115145017303
